Date/Time (EST)                        ,Number of Records Compiled,monthly AVG of 2m Average Daily Temperature (F),monthly SUM of 2m Daily Precipitation (in)
Jun 2016,30 (100%),79.3,3.0302
Jul 2016,31 (100%),83,5.4004
Aug 2016,31 (100%),82.1,3.6704
Sep 2016,30 (100%),78.2,2.2403
Oct 2016,31 (100%),69.4,0.0103
Nov 2016,30 (100%),58.3,5.38
Dec 2016,31 (100%),49.8,3.6104
Jan 2017,31 (100%),52.7,8.5501
Feb 2017,28 (100%),56,4.8601
Mar 2017,31 (100%),58.1,5.0702
Apr 2017,30 (100%),67.8,7.02
May 2017,31 (100%),70.3,3.0704
Jun 2017,30 (100%),76.3,18.2705
Jul 2017,31 (100%),80.6,3.9006
Aug 2017,31 (100%),78.9,3.8102
Sep 2017,30 (100%),73.8,2.2202
Oct 2017,31 (100%),65.9,5.01
Nov 2017,30 (100%),56.3,2.1802
Dec 2017,31 (100%),45.1,4.48
Jan 2018,31 (100%),41.3,3.2
Feb 2018,28 (100%),57.7,8.3701
Mar 2018,31 (100%),55.3,3.8902
Apr 2018,30 (100%),59.6,7.42
May 2018,31 (100%),74.6,13.0703
Jun 2018,30 (100%),79.4,2.5001
Jul 2018,30 (96.8%),80.2,
Aug 2018,31 (100%),80.2,
Feb 2019,28 (100%),,6.9302
Mar 2019,31 (100%),59.7,2.9001
Apr 2019,30 (100%),62.1,9.7803
May 2019,31 (100%),74,2.1701
Jun 2019,30 (100%),78.2,4.1701
Jul 2019,31 (100%),80.3,5.34
Aug 2019,31 (100%),80.6,10.8601
Sep 2019,30 (100%),79.6,0
Oct 2019,31 (100%),67.4,7.2003
Nov 2019,30 (100%),50.1,2.6002
Dec 2019,31 (100%),51.2,7.2603
Jan 2020,31 (100%),48.6,8.2801
Feb 2020,29 (100%),50.5,11.31
Mar 2020,31 (100%),64.2,7.69
Apr 2020,30 (100%),61.5,8.9
May 2020,31 (100%),69,4.1601
Jun 2020,24 (80%),76.4,3.5201